cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.tampasweethearts.com/Hemingwaybestseller.aspx,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,197.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.tampasweethearts.com/hemingwaybestsellermaduro.aspx,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,217.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.tampasweethearts.com/hemingwayclassic.aspx,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.95,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.tampasweethearts.com/ashtonvsgrobusto.aspx,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,333.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.tampasweethearts.com/hemingwaysignature.aspx,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,250.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.tampasweethearts.com/hemingwayuntoldstorymaduro.aspx,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,467.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.tampasweethearts.com/hemingwayworkofart.aspx,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,266.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.tampasweethearts.com/hemingwayworkofartmaduro.aspx,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,292.95,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://www.tampasweethearts.com/ashtonvsgenchantment.aspx,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,339.5,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.tampasweethearts.com/ashtonvsgspellbound.aspx,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,414.5,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.tampasweethearts.com/ashtonvsgwizard.aspx,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,611.5,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://www.tampasweethearts.com/ashtonvsgbelicosono1.aspx,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,338.95,True,
